# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	11610	13316	+	WP_225011886.1	WP_225011886.1		hybrid sensor histidine kinase/response regulator			BT_RS00065	1707	568	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	13288	14586	+							BT_RS00070	1299		old_locus_tag=BT0015,BT_0015
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	13288	14586	+	WP_009039983.1	WP_009039983.1		sigma-54 dependent transcriptional regulator			BT_RS00070	1299	432	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	14774	15412	+							BT_RS00075	639		old_locus_tag=BT0016,BT_0016
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	14774	15412	+	WP_009039982.1	WP_009039982.1		RteC domain-containing protein			BT_RS00075	639	212	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	15525	16472	+							BT_RS00080	948		old_locus_tag=BT0017,BT_0017
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	15525	16472	+	WP_009039981.1	WP_009039981.1		hypothetical protein			BT_RS00080	948	315	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	16655	17371	+							BT_RS00085	717		old_locus_tag=BT0018,BT_0018
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	16655	17371	+	WP_009039979.1	WP_009039979.1		hypothetical protein			BT_RS00085	717	238	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	17383	17703	+							BT_RS00090	321		old_locus_tag=BT0019,BT_0019
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	17383	17703	+	WP_011107060.1	WP_011107060.1		hypothetical protein			BT_RS00090	321	106	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	17710	18487	+							BT_RS00095	778		pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	17710	18487	+				hypothetical protein			BT_RS00095	778		pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	18885	19040	+							BT_RS00100	156		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	18885	19040	+	WP_083787907.1	WP_083787907.1		helix-turn-helix domain-containing protein			BT_RS00100	156	51	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	19044	19334	+							BT_RS00105	291		old_locus_tag=BT0022,BT_0022
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	19044	19334	+	WP_009039977.1	WP_009039977.1		helix-turn-helix domain-containing protein			BT_RS00105	291	96	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	19601	20811	-							BT_RS00110	1211		pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	19601	20811	-				IS256 family transposase			BT_RS00110	1211		pseudo
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	20874	22075	-							BT_RS00115	1202		pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	20874	22075	-				IS1182 family transposase			BT_RS00115	1202		pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	22552	22830	+							BT_RS00120	279		old_locus_tag=BT0028,BT_0028
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	22552	22830	+	WP_009039976.1	WP_009039976.1		alkaline phosphatase			BT_RS00120	279	92	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	22906	26169	+							BT_RS00125	3264		old_locus_tag=BT0029,BT_0029
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	22906	26169	+	WP_009039975.1	WP_009039975.1		TonB-dependent receptor			BT_RS00125	3264	1087	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	26182	28011	+							BT_RS00130	1830		old_locus_tag=BT0030,BT_0030
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	26182	28011	+	WP_011107068.1	WP_011107068.1		RagB/SusD family nutrient uptake outer membrane protein			BT_RS00130	1830	609	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	28038	29195	+							BT_RS00135	1158		old_locus_tag=BT0031,BT_0031
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	28038	29195	+	WP_162303141.1	WP_162303141.1		PHP domain-containing protein			BT_RS00135	1158	385	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	29680	29970	+							BT_RS00140	291		old_locus_tag=BT0033,BT_0033
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	29680	29970	+	WP_011107070.1	WP_011107070.1		hypothetical protein			BT_RS00140	291	96	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	30135	31492	+							BT_RS00145	1358		pseudo;old_locus_tag=BT0034,BT_0034
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	30135	31492	+				transposase			BT_RS00145	1358		pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	32315	33526	+							BT_RS00150	1212		old_locus_tag=BT0036,BT_0036
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	32315	33526	+	WP_009039969.1	WP_009039969.1		site-specific integrase			BT_RS00150	1212	403	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	34087	35142	+							BT_RS00155	1056		old_locus_tag=BT0037,BT_0037
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	34087	35142	+	WP_009039968.1	WP_009039968.1		transcriptional regulator			BT_RS00155	1056	351	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	35266	35703	+							BT_RS00160	438		old_locus_tag=BT0038,BT_0038
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	35266	35703	+	WP_009039967.1	WP_009039967.1		hypothetical protein			BT_RS00160	438	145	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	35989	36417	+							BT_RS00165	429		old_locus_tag=BT0039,BT_0039
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	35989	36417	+	WP_009039966.1	WP_009039966.1		hypothetical protein			BT_RS00165	429	142	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	36478	38019	+							BT_RS00170	1542		old_locus_tag=BT0040,BT_0040
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	36478	38019	+	WP_009039965.1	WP_009039965.1		hypothetical protein			BT_RS00170	1542	513	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	38016	39218	+							BT_RS00175	1203		old_locus_tag=BT0041,BT_0041
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	38016	39218	+	WP_009039964.1	WP_009039964.1		Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain			BT_RS00175	1203	400	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	39215	40375	+							BT_RS00180	1161		old_locus_tag=BT0042,BT_0042
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	39215	40375	+	WP_009039963.1	WP_009039963.1		polysaccharide pyruvyl transferase family protein			BT_RS00180	1161	386	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	40406	40582	+							BT_RS00185	177		old_locus_tag=BT0043,BT_0043
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	40406	40582	+	WP_011107072.1	WP_011107072.1		glycosyltransferase			BT_RS00185	177	58	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	40584	41537	+							BT_RS00190	954		old_locus_tag=BT0044,BT_0044
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	40584	41537	+	WP_055235382.1	WP_055235382.1		glycosyltransferase			BT_RS00190	954	317	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	41534	42700	+							BT_RS00195	1167		old_locus_tag=BT0045,BT_0045
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	41534	42700	+	WP_009039960.1	WP_009039960.1		acyltransferase			BT_RS00195	1167	388	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	42724	43656	+							BT_RS00200	933		old_locus_tag=BT0046,BT_0046
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	42724	43656	+	WP_011107074.1	WP_011107074.1		glycosyltransferase family 2 protein			BT_RS00200	933	310	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	43671	44066	+							BT_RS00205	396		old_locus_tag=BT0047,BT_0047
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	43671	44066	+	WP_011107075.1	WP_011107075.1		glycosyltransferase			BT_RS00205	396	131	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	44162	44638	+							BT_RS00210	477		old_locus_tag=BT0048,BT_0048
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	44162	44638	+	WP_011107076.1	WP_011107076.1		hypothetical protein			BT_RS00210	477	158	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	44647	45582	+							BT_RS00215	936		old_locus_tag=BT0049,BT_0049
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	44647	45582	+	WP_011107077.1	WP_011107077.1		SP_1767 family glycosyltransferase			BT_RS00215	936	311	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	45585	46565	+							BT_RS00220	981		old_locus_tag=BT0050,BT_0050
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	45585	46565	+	WP_225011882.1	WP_225011882.1		glycosyltransferase			BT_RS00220	981	326	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	46565	47545	+							BT_RS00225	981		old_locus_tag=BT0051,BT_0051
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	46565	47545	+	WP_009039956.1	WP_009039956.1		glycosyltransferase			BT_RS00225	981	326	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	47542	48834	+							BT_RS00230	1293		old_locus_tag=BT0052,BT_0052
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	47542	48834	+	WP_225011881.1	WP_225011881.1		hypothetical protein			BT_RS00230	1293	430	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	48834	49958	+							BT_RS00235	1125		old_locus_tag=BT0053,BT_0053
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	48834	49958	+	WP_009039954.1	WP_009039954.1		glycosyltransferase family 4 protein			BT_RS00235	1125	374	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	50011	51132	+							BT_RS00240	1122		old_locus_tag=BT0054,BT_0054
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	50011	51132	+	WP_009039953.1	WP_009039953.1		glycosyltransferase family 4 protein			BT_RS00240	1122	373	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	51140	52255	+							BT_RS00245	1116		old_locus_tag=BT0055,BT_0055
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	51140	52255	+	WP_009039952.1	WP_009039952.1		glycosyltransferase family 4 protein			BT_RS00245	1116	371	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	52276	53298	+							BT_RS00250	1023		old_locus_tag=BT0056,BT_0056
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	52276	53298	+	WP_009039951.1	WP_009039951.1		glycosyltransferase family 4 protein			BT_RS00250	1023	340	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	53288	53575	+							BT_RS00255	288		old_locus_tag=BT0057,BT_0057
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	53288	53575	+	WP_009039950.1	WP_009039950.1		PqqD family protein			BT_RS00255	288	95	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	53647	54777	+							BT_RS00260	1131		old_locus_tag=BT0058,BT_0058
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	53647	54777	+	WP_011107079.1	WP_011107079.1		nucleotidyltransferase family protein			BT_RS00260	1131	376	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	54774	55715	+							BT_RS00265	942		old_locus_tag=BT0059,BT_0059
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	54774	55715	+	WP_009039948.1	WP_009039948.1		hypothetical protein			BT_RS00265	942	313	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	55754	56539	+							BT_RS00270	786		old_locus_tag=BT0060,BT_0060
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	55754	56539	+	WP_009039947.1	WP_009039947.1		polysaccharide biosynthesis/export family protein			BT_RS00270	786	261	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	56555	58894	+							BT_RS00275	2340		old_locus_tag=BT0061,BT_0061
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	56555	58894	+	WP_009039946.1	WP_009039946.1		polysaccharide biosynthesis tyrosine autokinase			BT_RS00275	2340	779	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	58945	59103	+							BT_RS00280	159		old_locus_tag=BT0062,BT_0062
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	58945	59103	+	WP_225011880.1	WP_225011880.1		hypothetical protein			BT_RS00280	159	52	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	59156	59356	+							BT_RS00285	201		old_locus_tag=BT0063,BT_0063
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	59156	59356	+	WP_009039944.1	WP_009039944.1		hypothetical protein			BT_RS00285	201	66	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	59766	59912	-							BT_RS24470	147		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	59766	59912	-	WP_225011879.1	WP_225011879.1		hypothetical protein			BT_RS24470	147	48	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	60052	61551	+							BT_RS00290	1500		old_locus_tag=BT0064,BT_0064
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	60052	61551	+	WP_237708488.1	WP_237708488.1		hypothetical protein			BT_RS00290	1500	499	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	61621	64158	+							BT_RS00295	2538		old_locus_tag=BT0065,BT_0065
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	61621	64158	+	WP_009039942.1	WP_009039942.1		fimbrillin family protein			BT_RS00295	2538	845	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	64273	65475	+							BT_RS00300	1203		old_locus_tag=BT0066,BT_0066
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	64273	65475	+	WP_011107080.1	WP_011107080.1		OmpA family protein			BT_RS00300	1203	400	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	65813	66064	+							BT_RS00305	252		old_locus_tag=BT0067,BT_0067
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	65813	66064	+	WP_009039940.1	WP_009039940.1		hypothetical protein			BT_RS00305	252	83	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	66092	66571	+							BT_RS00310	480		old_locus_tag=BT0068,BT_0068
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	66092	66571	+	WP_011107081.1	WP_011107081.1		hypothetical protein			BT_RS00310	480	159	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	66577	66789	+							BT_RS00315	213		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	66577	66789	+	WP_032851337.1	WP_032851337.1		hypothetical protein			BT_RS00315	213	70	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	66856	67737	-							BT_RS24475	882		old_locus_tag=BT0069,BT_0069
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	66856	67737	-	WP_032851336.1	WP_032851336.1		transposase			BT_RS24475	882	293	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	67710	68333	-							BT_RS24480	624		old_locus_tag=BT0070,BT_0070
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	67710	68333	-	WP_011107083.1	WP_011107083.1		transposase			BT_RS24480	624	207	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	68451	68852	+							BT_RS00330	402		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	68451	68852	+	WP_032851334.1	WP_032851334.1		RagB/SusD family nutrient uptake outer membrane protein			BT_RS00330	402	133	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	69063	69233	+							BT_RS00335	171		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	69063	69233	+	WP_015532627.1	WP_015532627.1		hypothetical protein			BT_RS00335	171	56	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	69352	70994	-							BT_RS00340	1643		pseudo;old_locus_tag=BT0073,BT_0073
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	69352	70994	-				ABC transporter ATP-binding protein/permease			BT_RS00340	1643		pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	71009	71362	-							BT_RS00345	354		old_locus_tag=BT0074,BT_0074
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	71009	71362	-	WP_225629875.1	WP_225629875.1		hypothetical protein			BT_RS00345	354	117	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	71955	72113	+							BT_RS00350	159		partial;pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	71955	72113	+				DDE transposase			BT_RS00350	159		partial;pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	72433	72723	+							BT_RS00355	291		old_locus_tag=BT0075,BT_0075
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	72433	72723	+	WP_009039935.1	WP_009039935.1		helix-turn-helix domain-containing protein			BT_RS00355	291	96	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	73184	74416	+							BT_RS00360	1233		old_locus_tag=BT0076,BT_0076
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	73184	74416	+	WP_011107088.1	WP_011107088.1		site-specific integrase			BT_RS00360	1233	410	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	74493	74999	+							BT_RS00365	507		old_locus_tag=BT0077,BT_0077
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	74493	74999	+	WP_011107089.1	WP_011107089.1		ORF6N domain-containing protein			BT_RS00365	507	168	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	75258	75710	+							BT_RS00370	453		old_locus_tag=BT0078,BT_0078
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	75258	75710	+	WP_011107090.1	WP_011107090.1		JAB domain-containing protein			BT_RS00370	453	150	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	76009	76542	+							BT_RS00375	534		old_locus_tag=BT0079,BT_0079
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	76009	76542	+	WP_011107091.1	WP_011107091.1		antirestriction protein ArdA			BT_RS00375	534	177	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	76586	76798	+							BT_RS00380	213		old_locus_tag=BT0080,BT_0080
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	76586	76798	+	WP_011107092.1	WP_011107092.1		hypothetical protein			BT_RS00380	213	70	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	76823	77017	+							BT_RS00385	195		old_locus_tag=BT0081,BT_0081
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	76823	77017	+	WP_011107093.1	WP_011107093.1		DUF3873 domain-containing protein			BT_RS00385	195	64	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	77115	78035	-							BT_RS00390	921		old_locus_tag=BT0082,BT_0082
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	77115	78035	-	WP_011107094.1	WP_011107094.1		hypothetical protein			BT_RS00390	921	306	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	78109	78975	-							BT_RS00395	867		old_locus_tag=BT0083,BT_0083
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	78109	78975	-	WP_011107095.1	WP_011107095.1		hypothetical protein			BT_RS00395	867	288	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	79079	79522	-							BT_RS00400	444		old_locus_tag=BT0084,BT_0084
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	79079	79522	-	WP_011107096.1	WP_011107096.1		DUF3872 domain-containing protein			BT_RS00400	444	147	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	79544	80122	-							BT_RS00405	579		old_locus_tag=BT0085,BT_0085
